Team_A,Team_A_Av(GD),Team_A_C(GF),Team_B,Team_B_Av(GD),Team_B_C(GF),Team_A_Last,Team_B_Last
Forest Green Rovers FC,-0.6451612903225806,33,Gillingham FC,0,44,0,0
Gateshead FC,0.7037037037037037,0,Dorking Wand.,-0.6296296296296297,0,6,0
Gillingham FC,-0.25806451612903225,0,FG Rovers,-0.6451612903225806,0,0,0
Harrogate Town FC,-0.3333333333333333,46,Grimsby Town FC,-0.25806451612903225,40,2,1
Hartlepool United FC,-0.42857142857142855,0,Ebbsfleet Utd,0,0,2,2
Huddersfield Town AFC,-0.8571428571428571,41,Blackburn Rovers FC,0.12903225806451613,63,3,0
Kidderminster Harriers FC,-0.5333333333333333,42,Aldershot Town FC,0.06451612903225806,52,0,1
Leyton Orient FC,-0.2413793103448276,31,Bolton Wanderers FC,0.9655172413793104,54,2,3
Lincoln City FC,0.0,36,Derby County FC,0.6785714285714286,50,1,3
Maidenhead United FC,-0.2,27,FC Halifax Town,0.07142857142857142,49,1,0
Middlesbrough FC,0.21875,0,Rotherham Utd,-1.103448275862069,0,0,1
Millwall FC,-0.2857142857142857,0,QPR,-0.6428571428571429,0,2,0
Milton Keynes Dons FC,0.17857142857142858,60,Morecambe FC,0,52,3,1
Morecambe FC,-0.10344827586206896,0,MK Dons,0.17857142857142858,0,1,3
Nottingham Forest FC,-0.5454545454545454,30,Brentford FC,0,41,1,1
Oldham Athletic AFC,0.13793103448275862,82,Eastleigh FC,0.1,67,1,1
Oxford United FC,0.3,42,Northampton Town FC,-0.25925925925925924,24,1,2
Peterborough United FC,0.65625,69,Shrewsbury Town FC,0,26,2,1
Plymouth Argyle FC,0.0,68,Cardiff City FC,-0.13333333333333333,63,2,2
Portsmouth FC,0.7,69,Fleetwood Town FC,-0.9642857142857143,20,1,1
Queens Park Rangers FC,-0.6428571428571429,41,Millwall FC,0,47,0,2
Rotherham United FC,-1.103448275862069,27,Middlesbrough FC,0,64,1,0
Sheffield Wednesday FC,-0.5172413793103449,38,Coventry City FC,0,62,0,2
Shrewsbury Town FC,-0.6129032258064516,0,P'borough Utd,0.65625,0,1,2
Solihull Moors FC,0.1724137931034483,0,Dag & Red,-0.17857142857142858,0,2,1
Southend United FC,0.48148148148148145,56,Altrincham FC,0.4074074074074074,42,0,2
Stevenage FC,0.36363636363636365,55,Barnsley FC,0.7777777777777778,67,1,2
Stockport County FC,1.0,82,Notts County FC,0.2,57,2,1
Stoke City FC,-0.16666666666666666,54,Birmingham City FC,-0.3793103448275862,37,3,1
Sutton United FC,-0.6875,28,Mansfield Town FC,0.7741935483870968,87,0,2
Swansea City AFC,0.0,33,Southampton FC,0.6071428571428571,38,0,5
Tranmere Rovers FC,-0.03333333333333333,62,Swindon Town FC,-0.20689655172413793,58,2,1
Walsall FC,0.06451612903225806,0,Acc'ton Stanley,0.1,0,1,2
Watford FC,0.25,46,Bristol City FC,0.1724137931034483,46,1,4
Wealdstone FC,-0.1111111111111111,41,Rochdale AFC,0.20689655172413793,49,3,2
West Bromwich Albion FC,0.5,50,Norwich City FC,0.03333333333333333,53,1,0
Wigan Athletic FC,0.20689655172413793,66,Reading FC,-0.1,45,0,2
Woking FC,-0.26666666666666666,69,Oxford City FC,-0.5,52,2,3
Wrexham FC,0.65625,67,Newport County AFC,0.0,42,2,0
Wycombe Wanderers FC,-0.16666666666666666,50,Port Vale FC,-0.22857142857142856,46,1,1
York City FC,-0.21875,52,AFC Fylde,-0.39285714285714285,47,2,0
En Avant de Guingamp,-0.15625,18,Stade de Reims,0.25,46,0,0
FC Fleury 91 Cœur d'Essonne,-0.2727272727272727,22,AS Saint-Étienne,-0.3125,11,2,1
FC Girondins de Bordeaux,-0.5151515151515151,0,Paris S-G,1.1333333333333333,0,0,3
Lille OSC,0.21621621621621623,36,Dijon FCO,-0.7692307692307693,27,3,3
Paris Saint-Germain Féminines,1.1333333333333333,16,FC Girondins de Bordeaux,0,3,3,0
Stade de Reims,0.25,46,En Avant de Guingamp,0,18,0,0
1. FC Kaiserslautern,0.0,0,St. Pauli,0.8636363636363636,0,1,2
1. FC Köln,-0.9444444444444444,15,Borussia Dortmund,0.48,31,0,1
1. FC Saarbrücken,0.6086956521739131,57,FC Viktoria Köln,-0.09090909090909091,35,1,2
Bayer 04 Leverkusen,2.081081081081081,65,RB Leipzig,0.4864864864864865,42,3,2
Borussia Dortmund,0.48,10,FC Viktoria Köln,-0.9444444444444444,8,1,0
Eintracht Frankfurt,0.9782608695652174,78,SV Darmstadt 98,0,31,1,0
FC Hansa Rostock,-0.631578947368421,24,1. FC Nürnberg,-0.7741935483870968,25,2,3
FC Ingolstadt,0.5714285714285714,41,Hallescher FC,0,26,4,0
FC Schalke 04,-0.15789473684210525,33,Hamburger SV,0.7391304347826086,43,3,5
FC St Pauli,0.8636363636363636,58,1. FC Kaiserslautern,0,36,2,1
FC Viktoria Köln,-0.09090909090909091,35,1. FC Saarbrücken,0.48,57,2,1
Hallescher FC,-0.65,0,Ingolstadt 04,0.5714285714285714,0,0,4
Hamburger SV,0.7391304347826086,43,FC Schalke 04,0,33,5,3
Hannover 96,0.3888888888888889,22,SV Elversberg,0,12,2,2
MSV Duisburg,-0.9375,0,1860 Munich,0,0,0,3
RB Leipzig,0.4864864864864865,42,Bayer 04 Leverkusen,0,65,2,3
SC Verl,0.3,0,Jahn R'burg,0.6666666666666666,0,1,2
SSV Jahn Regensburg,0.6666666666666666,37,SC Verl,0,24,2,1
SV Darmstadt 98,-1.411764705882353,0,Eint Frankfurt,0.9782608695652174,0,0,1
SV Elversberg,-0.2222222222222222,12,Hannover 96,0.3888888888888889,22,2,2
SV Sandhausen,-0.045454545454545456,26,Dynamo Dresden,0.8,43,1,0
TSG 1899 Hoffenheim,0.2222222222222222,50,SC Freiburg,-0.11428571428571428,36,1,2
TSV 1860 München,-0.2631578947368421,32,MSV Duisburg,-0.9375,29,3,0
VfB Lübeck,-0.8095238095238095,24,SV Waldhof Mannheim,-0.55,20,2,2
VfL Bochum,-0.8823529411764706,14,VfB Stuttgart,1.3157894736842106,31,0,5
VfL Wolfsburg,0.6363636363636364,65,1. FC Heidenheim,-0.05555555555555555,49,2,0
AO Kifisia,-1.2352941176470589,22,Aris Thessaloniki FC,0,56,1,1
Aris Thessaloniki FC,0.23809523809523808,56,AO Kifisia,-1.2352941176470589,22,1,1
Atromitos FC,-0.29411764705882354,39,Asteras Tripoli FC,-0.35294117647058826,35,0,0
OFI Crete FC,-0.7647058823529411,15,AEK Athens FC,0.4074074074074074,59,2,0
Olympiacos FC,0.8518518518518519,56,PAS Giannina,-0.6470588235294118,25,3,0
Panserraikos FC,-0.7647058823529411,0,Volos NFC,-0.9411764705882353,0,0,1
PAOK FC,1.6551724137931034,29,Panathinaikos FC,1.0344827586206897,31,2,2
PAS Giannina,-0.6470588235294118,25,Olympiacos FC,0,56,0,3
PAS Lamia 1964,-0.5294117647058824,27,Panetolikos FC,-0.7058823529411765,26,1,0
Volos N.F.C.,-0.9411764705882353,26,Panserraikos FC,0,35,1,0
AC Pisa 1909,-0.2,28,Calcio Lecco 1912,-0.47368421052631576,17,1,2
AS Roma,1.3255813953488371,76,Internazionale,-0.47619047619047616,70,0,1
Calcio Lecco 1912,-0.47368421052631576,17,AC Pisa 1909,0,28,2,1
Como 1907,0.15,30,AC Reggiana 1919,0.045454545454545456,25,2,2
FC Südtirol,-0.1,25,Brescia Calcio,0.0,29,1,1
FeralpiSalò,-0.8571428571428571,22,US Catanzaro 1929,0,39,0,3
Hellas Verona FC,-0.47619047619047616,26,AS Roma,1.3255813953488371,58,2,1
Internazionale,0.918918918918919,70,AS Roma,1.3255813953488371,76,1,0
SSD Napoli Femminile,-1.6363636363636365,11,UC Sampdoria,-0.53125,14,0,2
Ternana Calcio,-0.25,23,AS Cittadella,0.23809523809523808,33,2,2
UC Sampdoria,-0.53125,14,SSD Napoli Femminile,0,11,2,0
Udinese Calcio,-0.42857142857142855,31,AC Milan,0.35135135135135137,78,1,0
US Catanzaro 1929,0.09523809523809523,39,FeralpiSalò,-0.8571428571428571,22,3,0
US Città di Palermo,0.4,31,Modena FC,-0.2,20,2,0
US Cremonese,0.6363636363636364,37,Spezia Calcio,-0.5238095238095238,21,3,0
Venezia FC,0.55,38,Cosenza Calcio 1914,-0.25,29,1,1
Club Tijuana,-0.17647058823529413,18,Club Atlas,-0.5882352941176471,15,2,0
Mazatlán FC,-0.16666666666666666,30,Deportivo Toluca FC,0.23529411764705882,39,1,0
Querétaro FC,-0.6470588235294118,28,Club América,1.3478260869565217,79,1,2
ADO Den Haag Vrouwen,0.09090909090909091,39,FC Utrecht,-0.7037037037037037,18,0,0
Almere City FC,-1.0,26,Fortuna Sittard,0.2962962962962963,51,1,2
AZ Alkmaar,0.7307692307692307,22,PEC Zwolle,0,13,3,0
FC Twente,0.7272727272727273,29,NEC Nijmegen,0.1875,23,3,3
FC Utrecht,-0.7037037037037037,6,ADO Den Haag,0.75,13,0,0
FC Volendam,-1.375,22,Heracles Almelo,-1.1875,19,2,2
Fortuna Sittard,0.2962962962962963,38,Feyenoord Vrouwen,-0.8181818181818182,15,0,0
Fortuna Sittard,0.2962962962962963,51,Almere City FC,0,26,2,1
Heracles Almelo,-1.1875,19,FC Volendam,0,22,2,2
NEC Nijmegen,0.1875,23,FC Twente,0,29,3,3
PEC Zwolle,-0.3125,13,AZ Alkmaar,0.7307692307692307,22,0,3
SBV Excelsior,-0.6296296296296297,12,AFC Ajax Vrouwen,1.5294117647058822,40,1,3
Wellington Phoenix FC,0.45454545454545453,0,Melb City,0,0,0,1
GD Estoril Praia,0.0625,32,FC Arouca,-0.1111111111111111,28,3,4
Moreirense FC,0.25,20,FC Porto,0.8181818181818182,19,1,2
SC Farense,0.0625,25,Casa Pia AC,-0.1875,12,0,3
FC Petrolul Ploiești,0.0,44,FC Dinamo București,-0.8571428571428571,25,1,1
FC Sibiu,0.19047619047619047,40,FC Universitatea Cluj,0,30,2,2
FC Universitatea Cluj,-0.14285714285714285,0,Hermannstadt,0.19047619047619047,0,2,2
Queen's Park FC,-0.7368421052631579,39,Dunfermline Athletic FC,0,59,2,1
Albacete Balompié,-0.3181818181818182,33,AD Alcorcón,-0.5652173913043478,26,2,1
Athletic Club,1.0909090909090908,36,Valencia CF,0,20,2,2
Atlético Madrid,1.1153846153846154,76,Granada CF,0,37,3,1
CD Tenerife,0.20833333333333334,0,Sporting Gijón,0.5217391304347826,0,1,2
Celta de Vigo,-0.09090909090909091,24,Real Sociedad,0.6785714285714286,41,1,1
FC Levante Las Planas,-0.6153846153846154,11,Real Sociedad,0.6785714285714286,28,,
Granada CF,-1.1515151515151516,37,Atlético Madrid,1.1153846153846154,76,1,3
Madrid CF Femenino,0.15384615384615385,19,Real Betis,0.5,17,,
Racing de Ferrol,0.3333333333333333,24,Real Oviedo,0,30,1,1
Rayo Vallecano,0.18181818181818182,16,UD Las Palmas,0,23,1,0
RCD Espanyol,0.5416666666666666,0,Villarreal B,-0.3333333333333333,0,1,3
Real Betis Féminas,-1.1538461538461537,0,Madrid CFF,0,0,,
Real Oviedo,0.30434782608695654,0,Racing Ferrol,0.3333333333333333,0,1,1
Real Sociedad,0.6785714285714286,0,Celta Vigo,0,0,1,1
Real Sociedad Femenino,-0.38461538461538464,0,Levante Planas,0,0,1,1
SD Amorebieta,-0.6086956521739131,31,CD Eldense,-0.21739130434782608,28,0,2
Sporting de Gijón,0.5217391304347826,25,CD Tenerife,0,12,2,1
UD Las Palmas,0.045454545454545456,23,Rayo Vallecano,0.18181818181818182,16,0,1
Valencia CF,0.13636363636363635,20,Athletic Club,1.0909090909090908,36,2,2
Villarreal CF B,-0.3333333333333333,26,RCD Espanyol,0.07692307692307693,43,3,1
Villarreal CF Femenino,-1.1538461538461537,14,Sevilla FC Femenino,0.07692307692307693,25,,
FC St. Gallen,0.6666666666666666,62,FC Lausanne-Sport,-0.2777777777777778,35,2,1
Grasshopper Club Zürich,0.13793103448275862,62,BSC Young Boys,0.7692307692307693,114,0,1
Servette FC,-0.07142857142857142,80,FC Winterthur,-0.3888888888888889,57,2,2
